source,id,name,url
UniProt,P05164,Myeloperoxidase,https://www.uniprot.org/uniprotkb/P05164
UniProt,P05204,Non-histone chromosomal protein HMG-17,https://www.uniprot.org/uniprotkb/P05204
UniProt,P05231,Interleukin-6,https://www.uniprot.org/uniprotkb/P05231
UniProt,P05386,Large ribosomal subunit protein P1,https://www.uniprot.org/uniprotkb/P05386
UniProt,P05387,Large ribosomal subunit protein P2,https://www.uniprot.org/uniprotkb/P05387
UniProt,P05388,Large ribosomal subunit protein uL10,https://www.uniprot.org/uniprotkb/P05388
UniProt,P05455,Lupus La protein,https://www.uniprot.org/uniprotkb/P05455
UniProt,P06213,Insulin receptor,https://www.uniprot.org/uniprotkb/P06213
UniProt,P06733,Alpha-enolase,https://www.uniprot.org/uniprotkb/P06733
UniProt,P06748,Nucleophosmin,https://www.uniprot.org/uniprotkb/P06748
UniProt,P06756,Integrin alpha-V,https://www.uniprot.org/uniprotkb/P06756
UniProt,P07199,Major centromere autoantigen B,https://www.uniprot.org/uniprotkb/P07199
UniProt,P07202,Thyroid peroxidase,https://www.uniprot.org/uniprotkb/P07202
UniProt,P07942,Laminin subunit beta-1,https://www.uniprot.org/uniprotkb/P07942
UniProt,P08246,Neutrophil elastase,https://www.uniprot.org/uniprotkb/P08246
UniProt,P08311,Cathepsin G,https://www.uniprot.org/uniprotkb/P08311
UniProt,P08514,Integrin alpha-IIb,https://www.uniprot.org/uniprotkb/P08514
UniProt,P08588,Beta-1 adrenergic receptor,https://www.uniprot.org/uniprotkb/P08588
UniProt,P08603,Complement factor H,https://www.uniprot.org/uniprotkb/P08603
UniProt,P08670,Vimentin,https://www.uniprot.org/uniprotkb/P08670
UniProt,P08686,Steroid 21-hydroxylase,https://www.uniprot.org/uniprotkb/P08686
UniProt,P08709,Coagulation factor VII,https://www.uniprot.org/uniprotkb/P08709
UniProt,P08758,Annexin A5,https://www.uniprot.org/uniprotkb/P08758
UniProt,P09327,Villin-1,https://www.uniprot.org/uniprotkb/P09327
